Dec_Output X,Dec_Output Y
0.000728,63
0.000729,0
0.00073,63
0.000731,1
0.000732,62
0.000733,2
0.000734,60
0.000735,3
0.000736,59
0.000737,5
0.000738,57
0.000739,7
0.00074,54
0.000741,10
0.000742,52
0.000743,13
0.000744,49
0.000745,16
0.000746,46
0.000747,19
0.000748,43
0.000749,22
0.00075,39
0.000751,26
0.000752,36
0.000753,29
0.000754,32
0.000755,33
0.000756,28
0.000757,36
0.000758,25
0.000759,40
0.00076,22
0.000761,43
0.000762,18
0.000763,46
0.000764,15
0.000765,49
0.000766,12
0.000767,52
0.000768,10
0.000769,55
0.00077,7
0.000771,57
0.000772,5
0.000773,59
0.000774,3
0.000775,60
0.000776,2
0.000777,62
0.000778,1
0.000779,63
0.00078,0
0.000781,63
0.000782,0
0.000783,63
0.000784,0
0.000785,63
0.000786,0
0.000787,63
0.000788,1
0.000789,62
0.00079,2
0.000791,60
0.000792,4
0.000793,59
0.000794,5
0.000795,57
0.000796,8
0.000797,54
0.000798,10
0.000799,52
0.0008,13
0.000801,49
0.000802,16
0.000803,46
0.000804,19
0.000805,42
0.000806,22
0.000807,39
0.000808,26
0.000809,35
0.00081,29
0.000811,32
0.000812,33
0.000813,28
0.000814,36
0.000815,25
0.000816,40
0.000817,21
0.000818,43
0.000819,18
0.00082,46
0.000821,15
0.000822,49
0.000823,12
0.000824,52
0.000825,9
0.000826,55
0.000827,7
0.000828,57
0.000829,5
0.00083,59
0.000831,3
0.000832,61
0.000833,2
0.000834,62
0.000835,1
0.000836,63
0.000837,0
0.000838,63
0.000839,0
0.00084,63
0.000841,0
0.000842,63
0.000843,0
0.000844,62
0.000845,1
0.000846,62
0.000847,2
0.000848,60
0.000849,4
0.00085,59
0.000851,5
0.000852,56
0.000853,8
0.000854,54
0.000855,10
0.000856,51
0.000857,13
0.000858,49
0.000859,16
0.00086,45
0.000861,19
0.000862,42
0.000863,23
0.000864,39
0.000865,26
0.000866,35
0.000867,30
0.000868,32
0.000869,33
0.00087,28
0.000871,37
0.000872,25
0.000873,40
0.000874,21
0.000875,43
0.000876,18
0.000877,47
0.000878,15
0.000879,50
0.00088,12
0.000881,52
0.000882,9
0.000883,55
0.000884,7
0.000885,57
0.000886,5
0.000887,59
0.000888,3
0.000889,61
0.00089,2
0.000891,62
0.000892,1
0.000893,63
0.000894,0
0.000895,63
0.000896,0
0.000897,63
0.000898,0
0.000899,63
0.0009,0
0.000901,62
0.000902,1
0.000903,61
0.000904,2
0.000905,60
0.000906,4
0.000907,58
0.000908,6
0.000909,56
0.00091,8
0.000911,54
0.000912,10
0.000913,51
0.000914,13
0.000915,48
0.000916,16
0.000917,45
0.000918,19
0.000919,42
0.00092,23
0.000921,38
0.000922,26
0.000923,35
0.000924,30
0.000925,31
0.000926,33
0.000927,28
0.000928,37
0.000929,24
0.00093,40
0.000931,21
0.000932,44
0.000933,18
0.000934,47
0.000935,15
0.000936,50
0.000937,12
0.000938,53
0.000939,9
0.00094,55
0.000941,7
0.000942,57
0.000943,5
0.000944,59
0.000945,3
0.000946,61
0.000947,2
0.000948,62
0.000949,1
0.00095,63
0.000951,0
0.000952,63
0.000953,0
0.000954,63
0.000955,0
0.000956,63
0.000957,0
0.000958,62
0.000959,1
0.00096,61
0.000961,2
0.000962,60
0.000963,4
0.000964,58
0.000965,6
0.000966,56
0.000967,8
0.000968,54
0.000969,10
0.00097,51
0.000971,13
0.000972,48
0.000973,16
0.000974,45
0.000975,20
0.000976,42
0.000977,23
0.000978,38
0.000979,26
0.00098,35
0.000981,30
0.000982,31
0.000983,34
0.000984,28
0.000985,37
0.000986,24
0.000987,40
0.000988,21
0.000989,44
0.00099,18
0.000991,47
0.000992,15
0.000993,50
0.000994,12
0.000995,53
0.000996,9
0.000997,55
0.000998,7
0.000999,57
0.001,5
0.001001,59
0.001002,3
0.001003,61
0.001004,2
0.001005,62
0.001006,1
0.001007,63
0.001008,0
0.001009,63
0.00101,0
0.001011,63
0.001012,0
0.001013,63
0.001014,0
0.001015,62
0.001016,1
0.001017,61
0.001018,2
0.001019,60
0.00102,4
0.001021,58
