Dec_Output X,Dec_Output Y
0.000912,33
0.000913,35
0.000914,37
0.000915,39
0.000916,40
0.000917,42
0.000918,44
0.000919,45
0.00092,47
0.000921,48
0.000922,50
0.000923,51
0.000924,53
0.000925,54
0.000926,55
0.000927,56
0.000928,57
0.000929,58
0.00093,59
0.000931,60
0.000932,61
0.000933,62
0.000934,62
0.000935,63
0.000936,63
0.000937,63
0.000938,63
0.000939,63
0.00094,63
0.000941,63
0.000942,63
0.000943,63
0.000944,63
0.000945,62
0.000946,61
0.000947,61
0.000948,60
0.000949,59
0.00095,58
0.000951,57
0.000952,56
0.000953,55
0.000954,54
0.000955,52
0.000956,51
0.000957,50
0.000958,48
0.000959,47
0.00096,45
0.000961,43
0.000962,42
0.000963,40
0.000964,38
0.000965,37
0.000966,35
0.000967,33
0.000968,31
0.000969,29
0.00097,28
0.000971,26
0.000972,24
0.000973,23
0.000974,21
0.000975,19
0.000976,18
0.000977,16
0.000978,14
0.000979,13
0.00098,12
0.000981,10
0.000982,9
0.000983,8
0.000984,7
0.000985,5
0.000986,4
0.000987,4
0.000988,3
0.000989,2
0.00099,1
0.000991,1
0.000992,0
0.000993,0
0.000994,0
0.000995,0
0.000996,0
0.000997,0
0.000998,0
0.000999,0
0.001,0
0.001001,0
0.001002,1
0.001003,2
0.001004,2
0.001005,3
0.001006,4
0.001007,5
0.001008,6
0.001009,7
0.00101,8
0.001011,9
0.001012,11
0.001013,12
0.001014,14
0.001015,15
0.001016,17
0.001017,18
0.001018,20
0.001019,21
0.00102,23
0.001021,25
0.001022,27
0.001023,28
0.001024,30
0.001025,32
0.001026,34
0.001027,35
0.001028,37
0.001029,39
0.00103,41
0.001031,42
0.001032,44
0.001033,46
0.001034,47
0.001035,49
0.001036,50
0.001037,52
0.001038,53
0.001039,54
0.00104,55
0.001041,57
0.001042,58
0.001043,59
0.001044,60
0.001045,60
0.001046,61
0.001047,62
0.001048,62
0.001049,63
0.00105,63
0.001051,63
0.001052,63
0.001053,63
0.001054,63
0.001055,63
0.001056,63
0.001057,63
0.001058,62
0.001059,62
0.00106,61
0.001061,61
0.001062,60
0.001063,59
0.001064,58
0.001065,57
0.001066,56
0.001067,55
0.001068,53
0.001069,52
0.00107,51
0.001071,49
0.001072,48
0.001073,46
0.001074,45
0.001075,43
0.001076,41
0.001077,40
0.001078,38
0.001079,36
0.00108,34
0.001081,33
0.001082,31
0.001083,29
0.001084,27
0.001085,26
0.001086,24
0.001087,22
0.001088,20
0.001089,19
0.00109,17
0.001091,16
0.001092,14
0.001093,13
0.001094,11
0.001095,10
0.001096,9
0.001097,7
0.001098,6
0.001099,5
0.0011,4
0.001101,3
0.001102,3
0.001103,2
0.001104,1
0.001105,1
0.001106,0
0.001107,0
0.001108,0
0.001109,0
0.00111,0
0.001111,0
0.001112,0
0.001113,0
0.001114,0
0.001115,1
0.001116,1
0.001117,2
0.001118,2
0.001119,3
0.00112,4
0.001121,5
0.001122,6
0.001123,7
0.001124,8
0.001125,10
0.001126,11
0.001127,12
0.001128,14
0.001129,15
0.00113,17
0.001131,19
0.001132,20
0.001133,22
0.001134,24
0.001135,25
0.001136,27
0.001137,29
0.001138,31
0.001139,32
0.00114,34
0.001141,36
0.001142,38
0.001143,39
0.001144,41
0.001145,43
0.001146,44
0.001147,46
0.001148,48
0.001149,49
0.00115,51
0.001151,52
0.001152,53
0.001153,55
0.001154,56
0.001155,57
0.001156,58
0.001157,59
0.001158,60
0.001159,61
0.00116,61
0.001161,62
0.001162,62
0.001163,63
0.001164,63
0.001165,63
0.001166,63
0.001167,63
0.001168,63
0.001169,63
0.00117,63
0.001171,63
0.001172,62
0.001173,62
0.001174,61
0.001175,60
0.001176,60
0.001177,59
0.001178,58
0.001179,57
0.00118,56
0.001181,54
0.001182,53
0.001183,52
0.001184,50
0.001185,49
0.001186,47
0.001187,46
0.001188,44
0.001189,43
0.00119,41
0.001191,39
0.001192,38
0.001193,36
0.001194,34
0.001195,32
0.001196,30
0.001197,29
0.001198,27
0.001199,25
0.0012,23
0.001201,22
0.001202,20
0.001203,18
0.001204,17
0.001205,15
0.001206,14
0.001207,12
0.001208,11
0.001209,10
0.00121,8
0.001211,7
0.001212,6
0.001213,5
0.001214,4
0.001215,3
0.001216,2
0.001217,2
0.001218,1
0.001219,1
0.00122,0
0.001221,0
0.001222,0
0.001223,0
0.001224,0
0.001225,0
0.001226,0
0.001227,0
0.001228,0
0.001229,1
0.00123,1
0.001231,2
0.001232,3
0.001233,3
0.001234,4
0.001235,5
0.001236,6
0.001237,7
0.001238,9
0.001239,10
0.00124,11
0.001241,13
0.001242,14
0.001243,16
0.001244,17
0.001245,19
0.001246,21
0.001247,22
0.001248,24
0.001249,26
0.00125,27
0.001251,29
0.001252,31
0.001253,33
0.001254,35
0.001255,36
0.001256,38
0.001257,40
0.001258,41
0.001259,43
0.00126,45
0.001261,46
0.001262,48
0.001263,49
0.001264,51
0.001265,52
0.001266,54
0.001267,55
0.001268,56
0.001269,57
0.00127,58
0.001271,59
0.001272,60
0.001273,61
0.001274,61
0.001275,62
0.001276,62
0.001277,63
0.001278,63
0.001279,63
0.00128,63
0.001281,63
0.001282,63
0.001283,63
0.001284,63
0.001285,63
0.001286,62
0.001287,62
0.001288,61
0.001289,60
0.00129,59
0.001291,59
0.001292,58
0.001293,57
0.001294,55
0.001295,54
0.001296,53
0.001297,52
0.001298,50
0.001299,49
0.0013,47
0.001301,46
0.001302,44
0.001303,42
0.001304,41
0.001305,39
0.001306,37
0.001307,35
0.001308,34
0.001309,32
0.00131,30
0.001311,28
0.001312,27
0.001313,25
0.001314,23
0.001315,21
0.001316,20
0.001317,18
0.001318,16
0.001319,15
0.00132,13
0.001321,12
0.001322,11
0.001323,9
0.001324,8
0.001325,7
0.001326,6
0.001327,5
0.001328,4
0.001329,3
0.00133,2
0.001331,2
0.001332,1
0.001333,0
0.001334,0
